Review Text,translation,Developer Reply Text
Easy to refer and reflect upon,Easy to refer and reflect upon,
Nice 👍❤️,Nice 👍❤️,
Great app jazakallah kher,Great app jazakallah kher,
Good aplikasi...,Good application...,
ربنا يكرمكم .. الحمدلله البرنامج أصبح يعمل كما هو مرجو منه فلله الحمد والمنه ولكم جزيل الشكر .,"May God bless you. Praise be to God, the program is now working as expected. Praise and blessings be upon God, and many thanks to you.","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
"Good application but they bomb you with notifications about ayas Edit: thanks for reply. I already uninstalled the app because of all the notifications. If you get this fixed, the app will be good","Good application but they bomb you with notifications about ayas Edit: thanks for reply. I already uninstalled the app because of all the notifications. If you get this fixed, the app will be good","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Uygulama harika,The app is great,
Sehr hilfreich und übersichtlich. Hilft mir den quran zu verstehen.,Very helpful and clear. Helps me understand the Quran.,
"Comprehensive content, easy to navigate.","Comprehensive content, easy to navigate.",
Saya suka pokoknya itu aja,I like that's all,
التطبيق رائع بس ناقص حاجه واحده لو موجوده يبقي مثالي علامة كل ربع لو موجوده يبقي كله جميل,"The application is wonderful, but it is missing one thing. If it were present, it would be perfect. The mark for each quarter, if it were present, would be beautiful",
Alhamdulillah.,Alhamdulillah.,
J'ai beaucoup aimé l'application ❤️❤️❤️,I really liked the app ❤️❤️❤️,
"It is an amazing Quran app which I have ever seen, we can read Qur'an in tajweed and it is also have translation in it of different languages and it is full of features like auto scroll listen recitation of different qari, I highly recommend this app","It is an amazing Quran app which I have ever seen, we can read Qur'an in tajweed and it is also have translation in it of different languages and it is full of features like auto scroll listen recitation of different qari, I highly recommend this app",
"May Allah help all people who worked for it, it is very helpfull to remember Allah and learn about Islam","May Allah help all people who worked for it, it is very helpfull to remember Allah and learn about Islam",
good apps,good apps,
Good application for use,Good application for use,
Great app to read and learn Qur'an,Great app to read and learn Qur'an,
"Apps yang sangat berguna, terutamanya bagi individu Muslim yang berhajat belajar, melancarkan bacaan, menghafal, memahami setiap patah kalam Pencipta, serta memahami konteks ayatnya. Suatu penambah baikan yang perlu ditekankan adalah terjemahan dan tafsir dalam Bahasa Melayu (Malaysia)","Apps that are very useful, especially for Muslim individuals who want to learn, read, memorize, understand every stroke of the Creator's pen, and understand the context of the verse. An improvement that needs to be emphasized is translation and interpretation in Bahasa Melayu (Malaysia)",
Very helpful to read as well as to understand what ALLAH says to us.,Very helpful to read as well as to understand what ALLAH says to us.,
"Isi nya lengkap, komplit,","The contents are complete, complete,",
ولا اروع اذا كان لوجه الله,Nothing is better if it is for the sake of God,
Apllikasinya sangat membantu,The application is very helpful,
جزاك الله خيرا 🥀🥀🥀,May God reward you 🥀🥀🥀,
Outstanding,Outstanding,
Bagus sangat bermanfaat sekali,"Good, very useful",
Superr,Superr,
Jazak Allah,May God bless you,
Very good & helpful,Very good & helpful,
"masaallah,, This apps is very helpful for us.","masaallah,, This apps is very helpful for us.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"Clear, informative, easy to use. Best app I've found so far.","Clear, informative, easy to use. Best app I've found so far.",
Good,Good,
Mashallah.,Mashallah.,
"Excellent app, though some features should be improved. Update: The features I had problem with are okay now. Good wishes for the GTAF team. JazakumuAllah Khairan.","Excellent app, though some features should be improved. Update: The features I had problem with are okay now. Good wishes for the GTAF team. JazakumuAllah Khairan.","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
"Simply excellent! Walahi, it's among the best apps to memorize the holy Quran easily (insha'Allah). It's very easy to use. Although I just downloaded the app recently ( 24/06/ 2022), My love for it has vastly and greatly developed and even still developing very much 🥰✍️. In fact, I'm ecstatic! Actually and so far, I haven't been seeing any ads in the app- that also partakes to the smooth and uninterrupted running of the app. May Allah bless the developers handsomely 🤲","Simply excellent! Walahi, it's among the best apps to memorize the holy Quran easily (insha'Allah). It's very easy to use. Although I just downloaded the app recently ( 24/06/ 2022), My love for it has vastly and greatly developed and even still developing very much 🥰✍️. In fact, I'm ecstatic! Actually and so far, I haven't been seeing any ads in the app- that also partakes to the smooth and uninterrupted running of the app. May Allah bless the developers handsomely 🤲",
Please include qibla direction option,Please include qibla direction option,
Vraiment cette application est miraculeux. Je conseille à tous les musulmans de telechargé,Truly this application is miraculous. I advise all Muslims to download,
Masha Allah a holy book that help us to do the right things. Is very good and readable.,Masha Allah a holy book that help us to do the right things. Is very good and readable.,
Alhamdulillah 🇵🇸,Alhamdulillah 🇵🇸,
Gayet iyi bir uygulama,A very good application,
"Cette application est un succès. Mais je sens un retard dans la synchronisation quand la lecture passe d'une phrase à une autre. Le temps de voir le début de la phrase, sa lecture est commencée.","This application is a success. But I feel a delay in synchronization when the playback switches from one sentence to another. By the time you see the beginning of the sentence, it has started reading.",
جميل,Beautiful,
Best,Best,
اقيموا الحق کما امركم الله وان تظلموا فان الله شديد العقاب,"Establish the truth as God has commanded you, and if you do wrong, God is severe in punishment",
One extra thing that would be good is if there was an ayah by ayah tafseer audio I.e. Noumwn Ali khan. They do this in the Qur'an hive app.,One extra thing that would be good is if there was an ayah by ayah tafseer audio I.e. Noumwn Ali khan. They do this in the Qur'an hive app.,
Allah razi olsun,God bless everyone,
This app its too much good whereby it has helped me to learn the holyQuran,This app its too much good whereby it has helped me to learn the holyQuran,
"Alhamdulillah mudah digunakan. Suka sangat function mudah zoom in, word by word & banyak pilihan bahasa. Tak lag & mesra pengguna. Tq","Thank God it's easy to use. Really like the function, easy zoom in, word by word & lots of language choices. No lag & user friendly. Tq",
"The most accessible Qur'an app for me. Being able to bookmark the verses, and the option to view the Qur'an with or without the translations is very handy. May it benefit all of us in learning the Qur'an and bring us closer to our religion. Jazakallah khayr to the developers.","The most accessible Qur'an app for me. Being able to bookmark the verses, and the option to view the Qur'an with or without the translations is very handy. May it benefit all of us in learning the Qur'an and bring us closer to our religion. Jazakallah khayr to the developers.",
Good apk,Good apk,
MashaAlloh zoʻr ekan,MashaAllah it's great,
Very good app,Very good app,
Maa syaa Allah,Maa syaa Allah,
I've just downloaded it and checked it's features. Actually I was looking for an add free Qur'an app and found the one. Will in Sha Allah support developers as there's option as well. Moreover I love the details and features this app contains. Touch a word and you get meanings and root words as well. Will update review after it's extensive use. Till now it's good choice after scrolling so many other Qur'an apps. 1. Suggestion: Please add prayer timings in this application,I've just downloaded it and checked it's features. Actually I was looking for an add free Qur'an app and found the one. Will in Sha Allah support developers as there's option as well. Moreover I love the details and features this app contains. Touch a word and you get meanings and root words as well. Will update review after it's extensive use. Till now it's good choice after scrolling so many other Qur'an apps. 1. Suggestion: Please add prayer timings in this application,
Mashallah it's great app to teach me and you how to read Quran,Mashallah it's great app to teach me and you how to read Quran,
Kami tak tau apa kesalahan ini.,We don't know what this error is.,
With ur efforts makes me more attached with Allah 's word barakallahu feekum....ya rahmana dunya wal akhira irhamhum ....,With ur efforts makes me more attached with Allah's word barakallahu feekum....ya rahmana dunya wal akhira irhamhum....,
"Absolutely knowledgeable a complete guide for reading Qur’an, Jazakumullahu khairan","Absolutely knowledgeable a complete guide for reading Qur’an, Jazakumullahu khairan",
نشكر جهودكم المبولة تجاهنا,We thank you for your great efforts towards us,
راائع بكل ما تحويه الكلمة من معنى ما شاء الله ولا حول ولا قوة إلا بالله,"Wonderful in every sense of the word, God willing, and there is no power nor strength except in God",
Allhamdullilah it's best Quran app ever but I encounter a problem with English tafsir of Ibn Kathir If you can Include in it as a previous version,Allhamdullilah it's best Quran app ever but I encounter a problem with English tafsir of Ibn Kathir If you can Include in it as a previous version,
Awesome. Jazakumullahu Khairan,Awesome. Jazakumullahu Khairan,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"Literally, the beat app I have ever seen.Mashallah🥰","Literally, the beat app I have ever seen.Mashallah🥰",
Very very nice app,Very very nice app,
"Aslm, jazaakallahu khairan","Aslm, may God bless you",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Please add Amharic word by word translation,Please add Amharic word by word translation,
Barakallahu lakum to everyone behind this incredible app.,Barakallahu lakum to everyone behind this incredible app.,
"Aplikasi Al Qur'an yang sangat bagus untuk memahami bahsa Al Qur'an . Aplikasi ini juga dilengkapi berbagai tafsir dan terjemahan, kamus, tajwid , qori pilihan, jelajah pencarian. Ikhwan yang cinta al quran boleh coba aplikasi ini 👍👍👍 jazàa kumullah untuk pengembang..","A very good Al Qur'an application for understanding the language of the Qur'an. This application is also equipped with various interpretations and translations, dictionary, tajwid, selected qori, search exploration. Brothers and sisters who love the Koran can try this application 👍👍👍 jazàa kumullah for developers..",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Best app,Best app,
تطبيق جميل جدا تجربه ممتعه سهل الاستخدام ويذكر في القراءه يوميا,"A very beautiful application, an enjoyable experience, easy to use and recommended for daily reading",
Please give translation & tafseer in tamil language also,Please give translation & tafseer in tamil language also,
"وَعَلَيْكُمُسَّلَامْوَرَحْمَتُلّٰهِوَبَرَكَاْتُهُ and وَأَنْتُمْفَجَزَاكُمُاللَّهُخَيْرُمْ. The new update has solved the issues, I mentioned.","May God’s peace, mercy, and blessings be upon you, and may God reward you with goodness. The new update has solved the issues, I mentioned.","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Masha Allah Tabarakallah...,Masha Allah Tabarakallah...,
Really detailed and loved the explanation of each verse feature. The UI is intuitive and easy to use.,Really detailed and loved the explanation of each verse feature. The UI is intuitive and easy to use.,
"Lack of tafseer in English language such as Tafhimul Qur'an, Tafseer Al Kabir, and some Modern tafseer. And other features are not bad. Hope that you would look into these lacks jazakallahu khair.","Lack of tafseer in English language such as Tafhimul Qur'an, Tafseer Al Kabir, and some Modern tafseer. And other features are not bad. Hope that you would look into these lacks jazakallahu khair.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
I have learnt a lot on this app about Quran. MashaAllah bless the developers who worked together to create this app. Very easy to learn and recite the Qur'an,I have learnt a lot on this app about Quran. MashaAllah bless the developers who worked together to create this app. Very easy to learn and recite the Qur'an,
"MashaALLAH MashaALLAH MashaALLAH Alhumdulillah Alhumdulillah Alhumdulillah Allah Rabbul Aalamin Will Reward You Immensely for the work you have done to make this Application, I like the Application very very much ❤️👍the features are really outbeatable. Jazakallahu Khayran. Shukran.","MashaALLAH MashaALLAH MashaALLAH Alhumdulillah Alhumdulillah Alhumdulillah Allah Rabbul Aalamin Will Reward You Immensely for the work you have done to make this Application, I like the Application very very much ❤️👍the features are really outbeatable. Jazakallahu Khayran. Shukran.",
Very good,Very good,
"It is a good app , it helped me improve my reading , and I can open the app to read wherever I am. There are many readers option to listen to I currently listening to the reading of sheikh Al-hesray . Keep the good work.","It is a good app , it helped me improve my reading , and I can open the app to read wherever I am. There are many readers option to listen to I currently listening to the reading of sheikh Al-hesray . Keep the good work.",
Surat alkahfi Terimakasih,Surat alkahfi Thank you,
تطبيق رائع وأروع شئ أنه مترجم بأكثر من لغه وسهل وبسيط علي كل من يريد تعلم القرآن أو قراءته فقط يستحق التقدير,"A wonderful application, and the most wonderful thing is that it is translated into more than one language, and it is easy and simple for everyone who wants to learn the Qur’an or just read it. It deserves appreciation.",
Bagus ada waktu solat dan azannya hingga kita bisa tau waktu solat walau di mna pun berada..di sela kesibukan kita ada yg mengingatkan kita dngn azan agar solat tepat waktu,It's good that there are prayer times and the call to prayer so that we can know the prayer times no matter where we are... in the midst of our busy lives there is someone who reminds us with the call to prayer so that we pray on time.,
Very educative and understandable illim,Very educative and understandable illim,
Jazakallah. Add 'click to expand' button against each ayah's tafseer so we may read only what we want.,Jazakallah. Add 'click to expand' button against each ayah's tafseer so we may read only what we want.,"Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Bookmark option need to be bettered,Bookmark option need to be bettered,
⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,
"perfect front, and transition, accurate Masha'allah, i love it","perfect front, and transition, accurate Masha'allah, i love it",
It is an useful app to quran lover.,It is an useful app to quran lover.,
ASSALAMUALAIKUM. There have no word that can explain your job . May ALLAH bless you.,ASSALAMUALAIKUM. There have no word that can explain your job . May ALLAH bless you.,
"This is my favorite and best app for reading the Quran it even teaches the tajwed rules, MashAllah, I recommend this app for every child and evey adult.","This is my favorite and best app for reading the Quran it even teaches the tajwed rules, MashAllah, I recommend this app for every child and evey adult.",
It's the best I've ever come by👍,It's the best I've ever come by👍,
"Awsome, barakallahu feek","Awsome, barakallahu feek",
Ahumdulillah.,Alhamdulillah.,
This has been a wonderful app to learn Quran. I have paid on other apps didn't get as much as user friendly experience as this one. I would recommend it to anyone just learn about Islam.,This has been a wonderful app to learn Quran. I have paid on other apps didn't get as much as user friendly experience as this one. I would recommend it to anyone just learn about Islam.,
"Lengkap dengan terjemah,bagus digunakan,portable dn mudah faham","Complete with translation, easy to use, portable and easy to understand",
Good app,Good app,
Great app,Great app,
"The best quran app, I love it ❤","The best quran app, I love it ❤",
জাঝাকাল্লাহু খআয়রন ।,Jazhakallah Khayron.,
This app helps you to read quran whenever and where ever you are.,This app helps you to read quran whenever and where ever you are.,
Best apps ever. Jazakallah,Best apps ever. Jazakallah,
Machaallah c'est un très bon outil pour connaître sa religion.,Mashaallah is a very good tool for knowing your religion.,
Alhamdulillah mantul,Thank God it helped,
Good,Good,
অসাধারণ অ্যাপস। নতুন নতুন আপডেট চাই।,Awesome apps. I want new updates.,
This is very good and educative may Allah al-rahman bless the developers.,This is very good and educative may Allah al-rahman bless the developers.,
لاإله إلا أنت سبحانك إني كنت من الظالمين,No god but You Glory I oppressors,
بسیار عالی است لطف کنید تفسیر هم بگذارید بغیر از ترجمه فارسی,"It's great, please leave a commentary besides the Farsi translation",
"This is the best Quran app I ever see, good work","This is the best Quran app I ever see, good work",
My favourite Qur'an app. JazaakAllah khair. I really appreciate that issues are fixed periodically.,My favourite Qur'an app. JazaakAllah khair. I really appreciate that issues are fixed periodically.,"Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Very good app,Very good app,
Very useful app,Very useful app,
تطبيق ممتاز جدا شكرا لكم,"Very excellent application, thank you",
tested and trusted May Allah Reward you for your unending contribution to Islam,tested and trusted May Allah Reward you for your unending contribution to Islam,
"MasyaAllah bagus sekali mempermudah baca Qur'an dimana pun, tafsir, murottal per ayat jazakumullahu khaira","MashaAllah it's great to make it easier to read the Qur'an anywhere, tafsir, murottal per verse jazakumullahu khaira",
No comment I found it very interesting and helpful,No comment I found it very interesting and helpful,
"Salaam Alaikum, best Quran app, very easy to use, I love the word by word translation with word roots and clear easy tafseer; may Allah reward the developers of this app.","Salaam Alaikum, best Quran app, very easy to use, I love the word by word translation with word roots and clear easy tafseer; may Allah reward the developers of this app.",
Very helpful app. Everyone should try. May Allah bless them all who worked for this app.,Very helpful app. Everyone should try. May Allah bless them all who worked for this app.,
روعة ماشاء الله الله يجعله في ميزان حسناتكم شكرا,"Amazing, God willing, may God put it in the balance of your good deeds. Thank you",
"БаракАллах1, вот бы в вашей команде работать.","BarakAllah1, I wish I could work in your team.",
One of the best Quran apps out there,One of the best Quran apps out there,
Super App genau was ich gesucht habe Jazzak Allahu Khayran Allahuma Barik,Great app exactly what I was looking for Jazzak Allahu Khayran Allahuma Barik,
رایع,Ra'i,
"Sangat membantu dlm belajar bahasa arab dan hufunya besar tapi sekarang tiap di buka, aplikasi mati/hilang sendiri","It's very helpful in learning Arabic and the hufu is big but now every time you open it, the application turns off/disappears by itself",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"I have encountered a lot of contents in social media of (not yet) believers who showed their interest in learning the Quran, in the midst of genocide that is happening in Palestine. I'd recommend this app. 100%. Great work, masha-Allah. Jazakumullahu khairan to the team.","I have encountered a lot of contents in social media of (not yet) believers who showed their interest in learning the Quran, in the midst of genocide that is happening in Palestine. I'd recommend this app. 100%. Great work, masha-Allah. Jazakumullahu khairan to the team.",
"Whenever I use the audio function, it does let me pick from what Surah to begin/stop at.","Whenever I use the audio function, it does let me pick from what Surah to begin/stop at.",
Alhamdulillah very helpful for us.,Alhamdulillah very helpful for us.,
Very very good,Very very good,
"All the apps from this developer are awesome. Honestly, I have learnt a lot, be it al quran or the hadith app greentech are 👌. JazakAllah khairun","All the apps from this developer are awesome. Honestly, I have learnt a lot, be it al quran or the hadith app greentech are 👌. JazakAllah khairun",
Very nice and well developed quran app. Has many interesting features including segmentation by topics,Very nice and well developed quran app. Has many interesting features including segmentation by topics,
ALLHAMDULILLAH,ALLHAMDULILLAH,
Alhamdulillah!,Alhamdulillah!,
Maashaallah. Its a very excellent app for every muslim. Alhamdulillah !! Alhamdulillah !!! An Introduction of Tafsir Fathul Mazid is Required. Attend Please.,Maashaallah. Its a very excellent app for every muslim. Alhamdulillah !! Alhamdulillah !!! An Introduction of Tafsir Fathul Mazid is Required. Attend Please.,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"السلام عليكم ورحمة الله The app is very good. Alhamdulillah. But,brothers, I have a question. Hope that Allah has kept you very well. I want to know about ""word by word translation"" from you. That, I live in Bangladesh and the scholars here issued a fatwa that any saleable book or writing is not permissible for dissemination or commercial use or even personal reading (such as PDF files) without the consent of the author or publisher.","السلام عليكم ورحمة الله The app is very good. Alhamdulillah. But,brothers, I have a question. Hope that Allah has kept you very well. I want to know about ""word by word translation"" from you. That, I live in Bangladesh and the scholars here issued a fatwa that any saleable book or writing is not permissible for dissemination or commercial use or even personal reading (such as PDF files) without the consent of the author or publisher.",
As you wish so you do the best for future career and life is good for you like this is the needful and confirm with you.,As you wish so you do the best for future career and life is good for you like this is the needful and confirm with you.,
Top mashaAllah ta Barak Allah,Top masha Allah ta Barak Allah,
"This app is good for better experience, I don't find any complain in app and it is very easy to use. There are many important features to make the app easy to use. I don't ever regret of downloading the app.","This app is good for better experience, I don't find any complain in app and it is very easy to use. There are many important features to make the app easy to use. I don't ever regret of downloading the app.",
Good,Good,
"EDIT: I found out that the problem I've encountered in this app was fixed. Thank you so much for creating a very helpful Quran app! I especially love the word to word translations, the feature that allows you to see where each words in a verse appears elsewhere in the Quran and the note section. 👍","EDIT: I found out that the problem I've encountered in this app was fixed. Thank you so much for creating a very helpful Quran app! I especially love the word to word translations, the feature that allows you to see where each words in a verse appears elsewhere in the Quran and the note section. 👍","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
"Assalamu Alaikum, So, first of all Masha Allah this app is a very helpful app which I utilise to help myself in memorising the Quran and also go through the translation but recently I do not know of it's a bug but I can no longer see the translation and also the tafsir. Can you please take a look at it?","Assalamu Alaikum, So, first of all Masha Allah this app is a very helpful app which I utilise to help myself in memorising the Quran and also go through the translation but recently I do not know of it's a bug but I can no longer see the translation and also the tafsir. Can you please take a look at it?","Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
"Ma Sha Allah.. As a user,I'm satisfied.","Ma Sha Allah.. As a user,I'm satisfied.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
bagi kami bersyukur bisa belajar lagi dan mudah di bawa,"For us, we are grateful to be able to learn again and it is easy to carry",
Amazing app💫 !Jazakum allahu khairan🤲🏻,Amazing app💫 Jazakum allahu khairan🤲🏻,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
اللهم صلى على سيدنا محمد وعلى اله وصبه وسلم,"O God, may blessings and peace be upon our master Muhammad and his family and descendants",
Termasuk aplikasi Versi lengkap dari beberapa aplikasi quran yang lain.. sangat bagus dri segi tampilan terutama ada tafsirnya dan bagian toolsnya bisa disesuaikan menurut penggunaan masing2.. okelaa pokoknya.. good app👍,"Includes a complete version of several other Koran applications.. very good in terms of appearance, especially the interpretation and the tools section can be adjusted according to individual use.. okay, basically.. good app👍",
Nice app MashaAllah,Nice app MashaAllah,
It's really really good 😊👍,It's really really good 😊👍,
"Alhumdolillah fantastic app, may Allah subhanawatallah reward the company","Alhumdolillah fantastic app, may Allah subhanawatallah reward the company",
Alhamdulillah,Alhamdulillah,
بارك الله فيكم ونفع بكم الإسلام والمسلمين,May God bless you and benefit you from Islam and Muslims,
Super gut 👍,Super good 👍,
جميل,Beautiful,
Great app and has many features.,Great app and has many features.,
Məşə Allah,Masha Allah,
Your apps is amazing :Muslim,Your apps is amazing :Muslim,
Assalaam alykum I was using ibn kathir in english After update it is missing? If i am selecting translation option app is stopping,Assalaam alykum I was using ibn kathir in english After update it is missing? If i am selecting translation option app is stopping,"Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Wonderful 👍,Wonderful 👍,
I love it this app you develop very good software Thank you Soo much 😊,I love it this app you develop very good software Thank you Soo much 😊,
التطبيق رائع لقراءة القرآن مع التفسير بس احيانا بيكون تفسير الآية بيذكر جزء من أية ثانية مشان التوضيح، بتمنى لو صير بقدر اذا كبست عالاقتباس ياخدني عالمكان يلي تم الاقتباس منو,"The application is great for reading the Qur’an with interpretation, but sometimes the interpretation of the verse mentions part of a second of verse for clarification. I wish it would happen as much as if I click on the quote it takes me to the place from which the quote was made.",
Jezakumullah!!!,jezakumullah!!!,
Very good and amazing experience,Very good and amazing experience,
"Alhamdulillah,","Alhamdulillah,",
Maashallaah,Mashallah,
"One of the best and wonderful app I have ever seen in islamic Apps. May Allah reward everyone participated in this great work... Need to add more English and urdu translations, along with some more tafaseer in these two languages, as 500 million people do understand and read Urdu too. جزاکم اللہ جمیعا خیر الجزاء فی الدنیا والآخرۃ 🤲🏻🤲🏻🥰","One of the best and wonderful app I have ever seen in islamic Apps. May Allah reward everyone participated in this great work... Need to add more English and urdu translations, along with some more tafaseer in these two languages, as 500 million people do understand and read Urdu too. جزاکم اللہ جمیعا خیر الجزاء فی الدنیا والآخرۃ 🤲🏻🤲🏻🥰",
"Польза, всегда с собой, удобно читать, в наше цифровое время такие приложения должны быть, укрепляйте Иман, получайте знание.","Useful, always with you, convenient to read, in our digital times there should be such applications, strengthen Iman, gain knowledge.",
Subhanallah best and most easy to navigate... May Allah bless you all for working hard to maintain this app.,Subhanallah best and most easy to navigate... May Allah bless you all for working hard to maintain this app.,
💕,💕,
"alhamdullah this app is miracle... Allah hear our think from hearts, what we are looking for everything is here. May Allah Give Reward,Amin","alhamdullah this app is miracle... Allah hear our think from hearts, what we are looking for everything is here. May Allah Give Reward,Amin",
❤️❤️❤️❤️,❤️❤️❤️❤️,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Very good for explanation and picking up Arabic words,Very good for explanation and picking up Arabic words,
جميل وفقكم الله,"Beautiful, may God bless you",
ممتاز,Prominent,
I love it,I love it,
"Alhamdulillah....Pd Akhirnya q menemukan aplikasi Alquran tafsir yg pas dan enak untuk di pelajari,terimakasih mudah2an menjadi amal sholeh untuk yg membuat aplikasi ini ....👍","Thank God.... Finally I found a Koran interpretation application that is suitable and enjoyable to learn, thank you, hopefully it will be a good deed for those who make this application....👍",
"Mashallah best app to learn, understand quran with ease and comfort. We can also hear the quran from the world's best Qari. Tafseer is also available. Excellent work by the developer's. May Allah bless you always.","Mashallah best app to learn, understand quran with ease and comfort. We can also hear the quran from the world's best Qari. Tafseer is also available. Excellent work by the developer's. May Allah bless you always.",
برنامج مفيد جدا جزاكم الله خيرا,"A very useful program, may God reward you",
Cenky,Cenky,
Приятно что можно слушать и отслеживать одновременно,It's nice that you can listen and track at the same time,
جميل جدا ♥️♥️♥️,Very beautiful ♥️♥️♥️,
মাশাল্লাহ আলহামদুলিল্লাহ,Mashallah Alhamdulillah,
It's great for new people,It's great for new people,
Alhamdolillah satisfied....,Alhamdulillah satisfied....,
"Bismillah, semoga bermanfaat untuk ke depannya. sejauh ini aplikasi sangat membantu. terima kasih 🙏","Bismillah, hopefully it will be useful for the future. So far the app is very helpful. thank you 🙏",
Ma sha Allah very good app,Ma sha Allah very good app,
"Bagus, untuk rutinitas membenahi hati selain belajar dari narasumber yg berakhlaq","Good, for a routine to improve your heart besides learning from sources who have morals",
very nice and awasame apps,very nice and awasame apps,
رائع جدآ جزاكم الله كل خير,"Very wonderful, may God reward you with all the best",
This one is better than other Quran app.,This one is better than other Quran app.,
Nice,Nice,
আলহাম্দুলিল্লাহ আমার মনের মত পেয়ছি। জাযাকাল্লাহ খাইরান,Alhamdulillah I got what I wanted. Jazakallah Khairan,
Nice,Nice,
ممتاز جدا جدا,Very very excellent,
Masha ALLAH this is the best qur'an app Ave ever seen.,Masha ALLAH this is the best qur'an app Ave ever seen.,
"It,s a good app","It,s a good app",
Mashalloh,Mashallah,
"God bless you guys for putting in so much effort! You've compiled everything, made it so easy to research❤️ May Allaah reward you abundantly!","God bless you guys for putting in so much effort! You've compiled everything, made it so easy to research❤️ May Allaah reward you abundantly!",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Saya lebih suka tampilan yang versi terdahulu,I prefer the appearance of the previous version,
Amazing experience... Jazakallah khair.. May Allah reward you for this❤️❤️❤️❤️,Amazing experience... Jazakallah khair.. May Allah reward you for this❤️❤️❤️❤️,
Alhamdulillah good app,Alhamdulillah good app,
الله يجازيكم على تعبكم ...الله يبارك لك في تعبك و وقتك,May God reward you for your effort...May God bless you for your effort and your time,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Best quran app evy,Best quran app evey,
جزاكم الله خيرا,May God reward you,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"Excellent, Alhamduli Lah!! This is a very good app for every Muslim","Excellent, Alhamduli Lah!! This is a very good app for every Muslim",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
One of best quran app,One of best quran app,
"I like the translation word for word, helps me both with my Arabic and following the meaning of the text when there is a word I come across that I don't know.","I like the translation word for word, helps me both with my Arabic and following the meaning of the text when there is a word I come across that I don't know.",
I Appreciate the app,I Appreciate the app,
Great app! God bless the creators of this app. Really good for new Muslims or people who don't understand Arabic.,Great app! God bless the creators of this app. Really good for new Muslims or people who don't understand Arabic.,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
One of the best Quran App. Jajhak-Allah khair..🖤,One of the best Quran App. Jajhak-Allah khair..🖤,
