Review,feature,ads,performance,overall_sentiment
Best,Positive,Positive,Positive,positive
"Masyaallah, it's very helpful, especially since there are no advertisements so you can read the Koran comfortably",Positive,Negative,Positive,positive
The app in general is nice,Positive,Positive,Positive,positive
Very good app for thoes who want to understand quranic messsge.,Positive,Neutral,Positive,positive
Great app and easy to use,Positive,Positive,Positive,positive
Assalamu alaikum! The app is absolutely great! Thank you for your great work!,Positive,Neutral,Positive,positive
"Alhamdulillah, many thanks to the team, may God bless us all",Positive,Positive,Positive,positive
👍🏻 Well done pol,Positive,Positive,Positive,positive
Ideal application,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
Very nice and wonderful experience. Not like others who uses ads in the Quran app,Positive,Neutral,Positive,positive
A wonderful program that helps you complete the Holy Quran,Positive,Positive,Positive,positive
Good app,Positive,Positive,Positive,positive
Alhamdulillah. Its an amazing app for the Quran. I loved it,Positive,Positive,Positive,positive
Very helpful,Positive,Positive,Positive,positive
It's a fantastic app,Positive,Positive,Positive,positive
Beautiful,Positive,Positive,Positive,positive
"Alhamdulillah everything is good but Searching is not working now. Even if search, it will not show. Please help us and look into it. Thanks May The Almighty Allah reward you abundantly",Positive,Positive,Positive,negative
please upload tafseer in tamil language,Neutral,Neutral,Neutral,neutral
Great Interface 🙌 thanks to Greentechapp Organisation for these all apps they are so helpful In My life ... Jazakallah khair ❤️🤝,Positive,Positive,Positive,positive
"Thanks i gotta say for your work on this app, may Allah bless and keep reward you for your kindness.",Neutral,Neutral,Positive,positive
"Assalamu alaikum. Despite the fact that this time i'm coming back with a complain am not changing the star rate. I noticed that when you select a single surah sometimes, a first letter or a part of it is omitted by the app (e.g Qur'an 16 verse 106,) there is a و there that is omitted. Please try and adjust the audio. Secondly, why is it that the 'classic madani mushaf' type doesn't have the tajweed features and you can't select a word to see translation alone? Thank you, & may Allah bless you.",Negative,Negative,Negative,negative
One of the best,Positive,Positive,Positive,positive
"Amazing for quarn reading, reccomend",Positive,Positive,Positive,positive
Masha Allah ❤️,Positive,Neutral,Positive,positive
"My best translation, word by word, and meaning and Tafsir note.",Neutral,Neutral,Positive,positive
"Best app I've ever used for understanding the Quran. Really, really good. I couldn't access the mushaf mode, though. I need help with that, thanks.",Negative,Neutral,Negative,positive
I was downloaded the developer version. In that app SD card option was working properly. But in this final version app SD card option is not working.,Negative,Negative,Negative,negative
very complete,Positive,Positive,Positive,negative
Thank you,Positive,Neutral,Positive,positive
Very good app,Positive,Positive,Positive,positive
Assalomu alaykum. U menya audio ne zagrujaetsya. Pojalyusta ispravte etu oshibku.,Neutral,Neutral,Positive,negative
"God willing, may God reward you well",Neutral,Neutral,Positive,positive
Mashallah May Allah bless the creator of app Exceptional app,Positive,Positive,Positive,positive
Their is listening kuran here,Neutral,Neutral,Neutral,neutral
Good app,Positive,Positive,Positive,positive
Masha Allah the app is helpful,Positive,Positive,Positive,positive
Mashallah. Awesome app❤️❤️❤️❤️❤️,Positive,Positive,Positive,positive
Its very helpful apps,Positive,Positive,Positive,positive
Priceless.,Positive,Neutral,Positive,positive
very good,Positive,Positive,Positive,positive
Alhamdulillah! Thank you for your hair!,Neutral,Neutral,Positive,positive
It's an awesome app. Thank you very much,Positive,Positive,Positive,positive
There is a need for amendments to allow a reader access a particular verse of a Surat without having to scroll through the length of the surah,Negative,Negative,Negative,neutral
Very useful app mashaalllah.,Positive,Neutral,Positive,positive
"Easy to follow, especially with translation and reminder of the last verse you have read",Positive,Positive,Positive,positive
Alhamdulillah. No ads and option to select the reciter and translation. May Allah reward you.,Positive,Positive,Positive,negative
God bless you. Found it very helpful. jazakallahu khairan.,Positive,Neutral,Positive,positive
It is very good app for reciting Quran and has a good translation . I honestly love this app i use it daily,Positive,Positive,Positive,positive
No other app has combined quean and tafsir in such a convenient and simple manner to be able to switch into tafsir while reading quran or to read both at the same time comfortably is what I love the most it creates an eagerness to read more. I think this structure should be applied universally on all quran apps to encourage people to read more tafsir in order for them to understand better the kallam of Allah inshallah,Positive,Positive,Positive,positive
Masha Allah great app 💞,Positive,Positive,Positive,positive
"Mashaallah, the mushaf is complete, thank you",Positive,Neutral,Positive,positive
MashaAllah.. Great work,Positive,Positive,Positive,positive
"Alhamdulillah, this Koran application really helped me in studying the Koran, thank you",Positive,Positive,Positive,positive
May God reward you with an excellent application and may God put it in the balance of your good deeds,Positive,Positive,Positive,positive
Very beautiful apps,Positive,Positive,Positive,positive
Full power application. Please add it please. Waqf Ibtida',Positive,Positive,Positive,neutral
Excellent,Positive,Positive,Positive,positive
Must have app,Neutral,Neutral,Positive,neutral
Very good. I like this application.,Positive,Positive,Positive,positive
Simple and educational thank you,Positive,Positive,Positive,positive
May Allah reward immensely for those who are behind this app and made efforts,Positive,Positive,Positive,positive
Great app Highly recommended,Positive,Positive,Positive,positive
i love this,Positive,Positive,Positive,positive
Outstanding,Positive,Positive,Positive,positive
Alhamdulillah Your service is so worthy that people who wish to know Meaning of each ayath/ words is narrated as a ready reckoner.. That helps people to know Quran very easily. Alhamdulillah. Congratulations to the people who worked for this great endeavour.,Positive,Positive,Positive,positive
"The best app i have ever seen,,, SMART,EASY TO USE, I PRAY MAY ALLAH GRANT YOU THE BEST REWARD FOR YOUR EFFORT BOTH IN THIS WORLD AND IN THE HERE AFTER,,I REALY SATISFIED",Positive,Positive,Positive,positive
Alhamdulillah. Great app,Positive,Positive,Positive,positive
"About this app: have so many mistakes, ayaath also missing..this application is not good..pls remove this app....",Negative,Negative,Negative,negative
Is it possible to add a Qaloun reader? We need it if possible,Positive,Positive,Positive,neutral
"whoever made this Al-Qur'an application may have many rewards amen,,,",Neutral,Neutral,Neutral,positive
Very beautiful,Positive,Positive,Positive,positive
"Not for rookies. There are no marking at the end of ayats. So, it makes confusion.",Negative,Negative,Negative,negative
Excellent and the best thing about it is that it is without ads. There is one problem that I cannot make copies for those who want to copy only one word. How do I mark the last thing I read?,Negative,Negative,Positive,negative
"Oh God, glory be to Islam and Muslims. O God, may your blessings and peace be upon our Prophet, our beloved, and our master Muhammad, may God bless him and grant him peace, and may God bless you.",Positive,Positive,Positive,positive
beautiful,Positive,Positive,Positive,positive
Masha Allah,Neutral,Neutral,Neutral,positive
This App has everything in-built,Positive,Positive,Positive,neutral
BarokAllahu fikum!,Neutral,Neutral,Positive,positive
Very good and useful,Positive,Positive,Positive,positive
Awesome,Positive,Positive,Positive,positive
"This is the best Quran app I have met so far. I wish I knew it earlier. I totally recommend downloading this app, you wouldn't regret it♥️",Positive,Positive,Positive,positive
Nice app ❤,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
"Fix the marker section... sometimes it likes to change itself, and moving from letter to letter, verse to verse via tools, likes to go backwards incorrectly to 1 selected verse if pressed quickly. If there can be a Latin option for the Arabic writing",Negative,Negative,Negative,neutral
"As a Muslim, I think it's necessary to read every words knowing it's meaning. And I think this app is helping non Arabic speaker like us to understand broadly. Only Allah knows the best, may Allah provides the best to us.",Positive,Neutral,Positive,positive
Better,Positive,Positive,Positive,neutral
A very good app.,Positive,Neutral,Positive,positive
excellent app,Positive,Positive,Positive,positive
Excellent program,Positive,Positive,Positive,positive
"I like this app as its well planned, designed and has no ads.",Positive,Positive,Positive,positive
"A very good application, may God be pleased with it. I recommend it to everyone. For those who want to memorize the first Qur'an. It is very useful and useful. I have just started memorizing it.",Positive,Positive,Positive,positive
One of the best app Mashallah.,Neutral,Neutral,Positive,positive
Want tafseer in Tamil language,Neutral,Neutral,Positive,neutral
Highly Useful,Positive,Positive,Positive,negative
AUDIO QURAN RECITATION ARE NOT AVAILABLE YOU HAVE TO DOWNLOAD IT. KINDLY ASSIST TO DO SOMETHING ABOUT IT.,Negative,Negative,Negative,negative
"It's one of a kind.The translations,the flow of the reciter are all an extra mile .Masha Allah",Positive,Positive,Positive,positive
Mashallah,Neutral,Neutral,Neutral,positive
"So much benefits, Allah rewards those who came up with this ideas.",Positive,Neutral,Positive,positive
Subhanallah. This is indeed a great App. It has many useful features and functionality.,Positive,Positive,Positive,positive
"ماشاء الله The best Al Quran apps I ever used. I really adore it and every time I am using it I am thinking about the hard work your team has put on to this AlQuran application. Thank you for making Al Quran so accessible and with alot of important resources in it besides word by word translation. بارك الله فيكم Terima kasih. I would give more stars, unfortunately, there's no more star left. I give a score of cermerlang tertinggi! جزاكم الله خيرا",Positive,Positive,Positive,positive
I love the translation that it has. It would be best if each word had its translation available by touching it rather than having to check them an Aayeh at a time.,Negative,Neutral,Positive,positive
good,Positive,Positive,Positive,positive
Excellent app.,Positive,Positive,Positive,positive
"Ma Shaa Allaah, what a complete Qur’an with commentary that's understood. Baarokallohu li adha.",Neutral,Neutral,Positive,positive
This Quranic app is one of the best.,Neutral,Neutral,Positive,positive
Good,Positive,Positive,Positive,positive
"What a wonderful job, may God reward you.",Neutral,Neutral,Positive,positive
MashaAllah barek Allah la mighte illa billah alhamdulillah Allah hu akbar Greetings to those who say La ilahe illallah ve la nagbudu illaAllah.,Neutral,Neutral,Neutral,positive
I love it.,Positive,Neutral,Positive,positive
"The best aap, very easy to recite,translate or listen audio",Positive,Positive,Positive,positive
"Alhumdulillah ,it's good 👍🏻",Positive,Positive,Positive,positive
Best so ever,Positive,Positive,Positive,positive
Good and not many ads,Positive,Neutral,Positive,negative
Very helpful,Positive,Positive,Positive,positive
"Amazing App, continue working on keeping the great features but increasing ease of use and user experience. I ask Allah to grant all of you and the users of the App everlasting paradise.",Positive,Positive,Positive,positive
It is very good program for everyone,Positive,Positive,Positive,positive
A wonderful app,Positive,Positive,Positive,positive
Facilitating Learning.,Positive,Negative,Neutral,neutral
Ismaël IS good I love it,Positive,Positive,Positive,positive
Good and useful app,Positive,Positive,Positive,positive
Nice,Positive,Positive,Positive,positive
Alhamdulillah! wonderful,Positive,Positive,Positive,positive
Very good app.,Positive,Positive,Positive,positive
Very user friendly,Positive,Positive,Positive,positive
Very very very very good,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
We can recite Quran in both language,Positive,Neutral,Neutral,neutral
I am using this app since 2021 I think it's a most wonderful app,Positive,Positive,Positive,positive
"Mashaallah, tabarokalloh, very good and so helpful app for a muslim.",Positive,Neutral,Positive,positive
Nice Alhamdulillah,Positive,Neutral,Positive,positive
Good all over good. muslimder jonn Akti proyojonio apps,Positive,Positive,Positive,positive
Mash-allah.. Its very helpful.. Wonderful Quran App,Positive,Positive,Positive,positive
Masha Allah,Neutral,Neutral,Neutral,positive
Great application,Positive,Positive,Positive,positive
Very organized simply say fantastic....,Positive,Neutral,Positive,positive
may Allah reward you with every good thing in this world and in the hereafter Amin,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
"Alhamdulillah, it is very helpful for me who wants to know more about the Koran",Positive,Positive,Positive,positive
Best Quran app I've ever used,Positive,Positive,Positive,positive
"Very good experience, free, easy to use without advertising with downloading of the Quran possible (choice of several reciters) and many other things.",Positive,Negative,Positive,positive
"Great app, may God reward you.",Positive,Neutral,Positive,positive
May ALLAH make all the people involved in the creation of this application inhabitants of HEAVEN. Amen.,Neutral,Neutral,Positive,positive
It makes it easier for us to read Al Quran anywhere.. don't read it in the toilet..,Positive,Neutral,Positive,neutral
"Masha Allah Jazakallah Khairan. Take the app to heaven. Mujibur Rahman's Bengali translation of Surah Furqan verse 60 reads ""when they are told"".",Neutral,Neutral,Neutral,positive
Great Extraordinary. Hopefully it is blessed. Amen!,Neutral,Neutral,Positive,positive
Praise be to God ❤️,Positive,Neutral,Positive,positive
This is a great experience with this application. I love this apps.,Positive,Positive,Positive,positive
"Alhamdulillah, translation is very beautiful. but I wont recommend this app to any hafez e quran.",Negative,Negative,Negative,positive
Very helpful app.,Positive,Positive,Positive,positive
"A very good app. What's more, the app is free.",Positive,Positive,Positive,positive
Mashallah!,Neutral,Neutral,Positive,positive
Excellent,Positive,Positive,Positive,positive
Awesome and beautiful ❤️,Positive,Positive,Positive,positive
"Masha Allah, nice app.",Positive,Neutral,Positive,positive
I can easily read and memorise verse in the Qur'an by the will of Allah even without data/connection after installation.,Positive,Neutral,Positive,positive
"Great Qur'an app, among the best. Masha'Allah Tabarakallah",Positive,Neutral,Positive,positive
Fantastic,Positive,Positive,Positive,positive
"Excellent app, very clear and easy to read and navigate. I highly recommend it.",Positive,Positive,Positive,positive
Masha Allah 🥰 Allahuma Barik 🤲🏼,Neutral,Neutral,Neutral,positive
"Am always happy for having this great Quran app, is just the best among the rest. Masha Allah. May Almighty Allah bless the creator of this beloved Qur'an application Amin.",Positive,Positive,Positive,positive
the best,Positive,Positive,Positive,positive
Beautiful app helps with easy memorization especially understanding complicated words,Positive,Positive,Positive,positive
MashaAllah,Neutral,Neutral,Positive,positive
I believe that a word for word transliteration of the Qur'an is crucial to avoid corruption of Allah Subhana wa Ta'Ala's words and decree.,Neutral,Neutral,Neutral,neutral
"Masha Allah.. very helpful and easy for us who are still laymen.. Thank God the features are complete and free.. Masha Allah.. God willing, it will become a JARIYAH AMAL.. Aamiin.. Thank you.",Positive,Positive,Positive,positive
Excellent Al Quran App. Undoubtedly it's the best apps of Al Quran.,Positive,Positive,Positive,positive
"Alhamdulillaah, thank you for this good application, hopefully it will be useful and become a field of reward for all of us, Amen.",Neutral,Neutral,Positive,positive
"Ma shaa Allah,such an amazing app.Keeps reminding me of my Ibadah",Positive,Positive,Positive,positive
Very jelpful,Positive,Negative,Positive,positive
"Great!, but where's the bookmark feature?",Negative,Neutral,Positive,neutral
Very cool and excellent,Positive,Positive,Positive,positive
This is very nice,Positive,Positive,Positive,positive
The best al-Quran application ever.,Positive,Neutral,Positive,positive
VERY HELPFUL THANK YOU MAY ALLAH BLESS YOU,Positive,Positive,Positive,positive
"Best app, love it.",Positive,Neutral,Positive,positive
Good app,Positive,Positive,Positive,positive
Fantastic,Positive,Positive,Positive,positive
ما شاء الله One of the most amazing apps I have seen! You can't imagine how much this helped me in hifdh,Positive,Positive,Positive,positive
"Masha Allah, I have not seen any book that is more beautiful than this",Positive,Positive,Positive,positive
So helpful to practice Islam in daily life.,Positive,Neutral,Positive,positive
"Thank God, this application is very useful and can be offline",Positive,Positive,Positive,positive
good,Positive,Positive,Positive,positive
Thank you all,Positive,Positive,Positive,positive
Very helpful. JajakAllah,Positive,Positive,Positive,positive
ALLAH (S. W) BLESS YOU 🤲🏿,Neutral,Neutral,Positive,positive
Jajakallahi Khoirun!!!!!! ...I just want to say all my muslim or non muslim brothers and sister if u want to memorize the whole quran u have to download it... it's my personal review 🥰 👆ALLAHU AKBER🖤🕋🖤,Neutral,Neutral,Positive,positive
Alhamdulillah good app,Positive,Positive,Positive,positive
"One of the best Quran applications without any AD, with so many features. However, not able to play audio. On play option it starts to download the Surah, after it is completed it again asks to delete the recording. The problem has started recently.",Positive,Negative,Negative,negative
"Excellent Qur'an App!!! Provides word by word translation with various Qari for audio recitation. My requested feature would be ""QUR'AN IN THE REVELATION ORDER"" with brief discription about why and when are those verses came. That would be greatly helpfull for understanding the Qur'an. Jazakallah khiran!!!.",Positive,Positive,Positive,positive
good,Positive,Positive,Positive,positive
amazing,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"السلام عليكم I really like this application, it’s easy to customize, you can see what a particular word means, etc. May Allah be pleased with you ameen",Positive,Positive,Positive,positive
Salamualaikum Please add edriss abkar and abdulwadood hanif reciter to this application please,Neutral,Neutral,Neutral,neutral
🌔🌔🌔,Neutral,Neutral,Positive,neutral
Very useful. 🌼🌸,Positive,Neutral,Positive,positive
May God reward you with all the best❤️,Positive,Neutral,Positive,positive
I love ❤ Quran,Positive,Positive,Positive,positive
Its a great app Only suggestion i can give is that please add voice translations as well that is to verbally narrate the translation right after Arabic text,Positive,Positive,Positive,positive
"Jazaakumu Allahu hairan, May the Almighty Allah bless your deeds....",Neutral,Neutral,Positive,positive
Masha Allah,Neutral,Neutral,Neutral,positive
I love this App because anything you want to know just type it will take you there lmmediately. Whoever wants the best Quranic App this is the one you will look for.,Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
Excellent,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"It’s just beyond words to describe, it’s very useful. May Allah reward you1 with goodness",Positive,Positive,Positive,positive
Masha Allah..One of the most complete apps. Thank you 🤍,Positive,Positive,Positive,positive
Nice app but showing some issues in the book Mark's,Positive,Positive,Positive,negative
This is the best app so far! JazakAllahu Khair to all theose great people behind this priceless app! The app is so beautiful to read the Quran and benefited from it. 😍🤩🩷💗💗💗🩷🤩😍,Positive,Positive,Positive,positive
Best app,Positive,Positive,Positive,positive
"God willing, may God accept the work and reward in abundance",Positive,Neutral,Positive,positive
Is there a English transliteration in the app ?,Neutral,Neutral,Neutral,neutral
Best Quran,Neutral,Neutral,Positive,positive
"Masya Alloh tabarokallah, mantep🙏🏻👍🏻",Neutral,Neutral,Positive,positive
Very good,Positive,Positive,Positive,positive
Nice,Positive,Positive,Positive,positive
Excellent app please share with your brothers and sisters.,Positive,Neutral,Positive,positive
"MaShaAllah , Excellent May Allah bless you for creating Al Quran App",Positive,Positive,Positive,positive
I found that this quran Majeed is very good made and I didn't find any error in it,Positive,Positive,Positive,positive
"One of the best Qur'an app, With a remarkable friendly user interface and features",Positive,Positive,Positive,positive
Good quran aplication,Positive,Positive,Positive,positive
Very useful app MashaAllah! The feature I love most is the tafsir part !,Positive,Positive,Positive,positive
Good enough to lean tafsir,Neutral,Neutral,Positive,positive
Salam alaykum.Tafsir ibn kathir English version is not there anymore. But kudos to the developers. They did a very good job.,Neutral,Neutral,Positive,positive
Alhamdulillah.,Neutral,Neutral,Positive,positive
MashaAllah,Neutral,Neutral,Positive,positive
Masha-Allah,Neutral,Neutral,Neutral,positive
This is very useful & my favorite choice app,Positive,Positive,Positive,positive
May God reward you for this wonderful application,Positive,Positive,Positive,positive
One of the best Quran application so far. The Tafsir is so good that I find myself reading it more and more. Jazakallah Khairan.,Neutral,Neutral,Positive,positive
Most advanced and beautiful ❤️❤️❤️,Positive,Positive,Positive,positive
This is beautiful apps,Positive,Positive,Positive,positive
❤,Positive,Neutral,Positive,positive
Please check surathul adiyath(100) not complete aayath.,Neutral,Neutral,Neutral,neutral
God bless you,Positive,Neutral,Positive,positive
It needs update. I experience a lot of issues with the app. Sometimes it goes automatically out of app when I'm on it. And it can't download the Minshawis recitation. Lot of bugs lately.. Very sad for a Quran app i have studied much on.. I have a Samsung Galaxy s21,Negative,Negative,Negative,negative
May God bless you and reward you with all the best on our behalf,Positive,Positive,Positive,positive
Very useful and easy to understand,Positive,Positive,Positive,positive
A very good app learining the meaning of each word,Positive,Positive,Positive,positive
